"baseMean","log2FoldChange","lfcSE","pvalue","padj","ensembl","symbol"
5.93308870297521,1.07644512371769,0.324503667488743,0.000356080919582202,0.000749002183386185,"ENSG00000262118","MTCO1P28"
10.0839314837439,1.59661502942143,0.30293775045535,0.00035816484378902,0.000753116555813526,"ENSG00000236559","BCL2L1-AS1"
3.61362297390384,1.40557736047391,0.398653994385608,0.000359342336827486,0.000755515384061912,"ENSG00000273792",NA
7.11915985183756,1.84387776662473,0.423826016092382,0.000359633218037615,0.000756049816280578,"ENSG00000134760","DSG1"
1.38251095653759,2.87973377799419,0.830553159820102,0.000360120155073509,0.000757034876083165,"ENSG00000250753",NA
0.996996315440361,1.61602809467286,0.493269437299007,0.000360388085034692,0.000757559468113477,"ENSG00000216306",NA
1.14715131466656,1.48406501383001,0.411260768687468,0.00036070745252153,0.000758153456717742,"ENSG00000287031",NA
1.14148961465346,2.01272912135219,0.578747882430389,0.000362493737207533,0.000761624048888907,"ENSG00000221230","MIR548L"
5.79164286899176,1.31596210522094,0.286399540653181,0.000362638011045641,0.000761861494351647,"ENSG00000240520",NA
1.22042126733769,6.12192299708162,1.43972049782972,0.000364552679306466,0.000765766882455719,"ENSG00000287383",NA
2.3631294882272,2.17560275839327,0.681973331822889,0.000364603298803254,0.000765795145353494,"ENSG00000254856","NDUFA3P2"
4.98461260906517,1.06093533297672,0.320191099257145,0.000365117615020068,0.000766836307847927,"ENSG00000237406","NDUFA9P1"
2.45093450562454,1.97653050711004,0.542980702473362,0.000365182136618348,0.000766932733638014,"ENSG00000227213","SPATA13-AS1"
2.59248807249357,2.36255517741085,0.465239479020913,0.000365643778099951,0.000767823986714756,"ENSG00000240733","RN7SL502P"
4.68453778678664,1.61467997334803,0.358152928002804,0.00036619075013919,0.000768933404870385,"ENSG00000271996",NA
6.61470776125379,1.58120195273895,0.367704218197312,0.000366852091667358,0.000770165132435227,"ENSG00000279570",NA
3.75365273697951,1.0722584140003,0.324164421244374,0.000367798813190221,0.00077203468091388,"ENSG00000279726",NA
2.43893349219822,2.26170312176339,0.816108368592399,0.000368068599120615,0.000772522283593566,"ENSG00000207997","MIR644A"
12.7127423420475,1.24497090534513,0.247430636771534,0.000368437170157687,0.000773177727842369,"ENSG00000263606",NA
2.05118149469975,1.12800995648901,0.33715486656368,0.000368573294033493,0.000773424004298299,"ENSG00000217447",NA
5.56504913957657,1.88062971526155,0.364152751138883,0.000370375570087519,0.000776968573116658,"ENSG00000234650","LOC107984574"
1.50390278969282,1.13049413216973,0.340176795599658,0.000370866533426014,0.000777958908124782,"ENSG00000236206",NA
1.50016840827928,2.63882156850267,0.836592144862581,0.000372640291750081,0.000781520563018452,"ENSG00000234660",NA
1.04863253858733,1.85910190108099,0.571594371205229,0.000373068090273824,0.000782377948617095,"ENSG00000234816",NA
2.9591403533233,4.43811727840138,1.17242185532247,0.000373767909466228,0.000783734304979208,"ENSG00000225222","CHCHD4P5"
1.61161315843714,3.91316885140502,1.07231860214942,0.000373771906288645,0.000783734304979208,"ENSG00000236073",NA
1.70242324199376,1.06198418436776,0.316512114702739,0.000374827286169051,0.000785867281761943,"ENSG00000242849",NA
0.896131694251231,2.04746478318063,0.590440686391208,0.000375852251745356,0.000787895983858683,"ENSG00000186103","ARGFX"
3.68146351422618,1.8678275340481,0.446248065484947,0.000376374554262386,0.000788950750544617,"ENSG00000239207",NA
0.716431906039358,6.65470041750713,2.47392512911637,0.000377111607361681,0.00079041534182597,"ENSG00000224269",NA
1.20415487438281,-1.71161292833038,0.515313108085317,0.000379473231929891,0.000795203465934238,"ENSG00000237477",NA
2.62252409473289,3.06053112338051,0.850076686875407,0.000380753976074451,0.0007977656265191,"ENSG00000250267",NA
3.21816360666755,1.70988015043374,0.488109716751904,0.000383293131604724,0.000802677638424832,"ENSG00000279121",NA
3.39414777423186,3.87928920197105,1.19978912423101,0.000384111748615093,0.000804228485097626,"ENSG00000227948","LOC100420226"
4.15350836429341,2.22084108801196,0.501736544267128,0.000384543917527053,0.000805010636249486,"ENSG00000280205",NA
2.21482198094294,1.92595230127031,0.584210609592701,0.000385330069421323,0.00080653347000468,"ENSG00000265337",NA
1.71788883690452,1.78264896429701,0.616743631205063,0.000385721066233491,0.000807310861378791,"ENSG00000227705",NA
1.51067423460561,2.34514168076738,0.547236630035624,0.000385871332341105,0.000807543341311663,"ENSG00000188269","OR7A5"
2.40296226364443,1.40336830438154,0.444901927311209,0.00038707306498368,0.000810017167574389,"ENSG00000207313","SNORA2B"
4.60987695200172,2.13836592814665,0.516662846565611,0.000387318429961815,0.000810448327857648,"ENSG00000178021","TSPYL6"
1.16138797283477,2.9183501038172,0.778996646510108,0.00038887589508055,0.000813542033208008,"ENSG00000286174",NA
1.62630999292302,7.66681165917292,0.698773080418038,0.000389540962358337,0.000814892010139564,"ENSG00000204941","PSG5"
0.585844696045156,-1.26552722511553,0.365409074829088,0.000390139829823641,0.000816103371750778,"ENSG00000237941","KCNQ1DN"
1.12295520940737,1.32326120808878,0.416184096635387,0.000393906457386827,0.000823522677321861,"ENSG00000240787","NECTIN2P1"
5.98758658222835,1.2232324616955,0.33528898098674,0.000394059921076241,0.000823759937479608,"ENSG00000228886",NA
1.11035224636998,3.15795809438242,0.729274391292575,0.000394047802372268,0.000823759937479608,"ENSG00000254885",NA
3.07383725714872,2.64546949252967,0.584910414871974,0.000395862961157672,0.000827403179604849,"ENSG00000235834","LOC101928389"
3.90334306691996,1.14796336102437,0.353145810955207,0.000396194477423361,0.00082805409316838,"ENSG00000263177","MTND1P8"
3.9974142548632,1.2088760907946,0.281719647421412,0.000396950135996105,0.000829465168569896,"ENSG00000259362","LOC101929457"
2.85405025667472,1.42290537544576,0.38325681203679,0.000399108211389281,0.000833509780548506,"ENSG00000133020","MYH8"
1.48886058404524,1.14762679430281,0.354977039291201,0.000400565170374615,0.000836298254030512,"ENSG00000269068",NA
3.44949076847438,1.15993131566038,0.356571915317522,0.00040065426518229,0.000836441890700473,"ENSG00000257121","LOC100287148"
